Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,,,,,,,25000000,,,,,,,,,,,,,,,2022,"Kurdistan Region, Iraq, Rojava",,
Kurdish,Standard Kurdish,,,,,,,,,Botan,,Botan,,Botan,,,region,centred on the town of Cizre (Cizîr),,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,15700000,,,,,,,,,,,,,,,2019,"Kurdistan Region, Rojava",,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,,,,Syria,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iraq,,,,,,,,,,Northern,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iran,,,,,,,,,,Northwest,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iran,,,,,,,,,,Northeast,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,,,,Lebanon,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,,,,Armenia,,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,,,,,,Anatolia,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,,,,Caucasus,,,,,,,,,,,,,,,,,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Northern Kurdish,Kurmanji,,,,,,,some former Soviet republics,,,,,,,,,,,,,,,,
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Turkey ,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Turkey,Southeastern,Hakkari,,Culemêrg,,Hakkâri,,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iraq,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iraq,Iraqi Kurdistan,Dihok,,Dihok,,Dihok,,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iraq,,Soran,,dipirsin,,Soran,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Turkey,,Semdinli,,Semdinli,,Şemdinli,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iraq,,Mosul,,Mûsil,,Mosul,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Turkey,,Sirnak,,Sirnak,,Şirnak,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iran,,Urmia,,Urmia,,Urmia,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iraq,,Arbil,,Arbil,,Arbil,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southeastern Kurmanji,"Badînî, SEK",,,,Iran,,Salmas,,Salma,,Salmās,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northwestern Kurmanji,NWK,,,,,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northwestern Kurmanji,NWK,,,,,,Kahramanmaras,,Kahramanmaras,,Kahramanmaraş,Meraş,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northwestern Kurmanji,NWK,,,,Turkey,,Malatya,,Malatya,,Malatya,Meletî,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northwestern Kurmanji,NWK,,,,Turkey,,Sivas,,Sivas,,Sivas,Sêwaz,,province,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northwestern Kurmanji,NWK,,,,Turkey,,Elbistan,,Elbistan,,Elbistan,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Northwestern Kurmanji,NWK,,,,Turkey,,Adiyaman,,Adiyaman,,Adiyaman,,,,,,,low,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Adiyaman,,Adiyaman,,Adıyaman,Semsûr,,,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Gaziantep,,Gaziantep,,Gaziantep,Entab,,,,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Sanliurfa,,Sanliurfa,,Şanlıurfa,,,province,western half,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Syria,,,,,,,,,,,,,,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Syria,,Aleppo,,Heleb,,Aleppo,Heleb,,province,northern section,,,high,,,,(Öpengin & Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,Southwestern Kurmanji,SWK,,,,Turkey,,Urfa,,Riha,,Urfa,,,,,,,low,,,,(Öpengin & Haig 2014)
