GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,DIALECT,SOURCE,NOTES
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.1_1,Baharak,NA,NA,Wuleswali,District,NA,AF.BD.BA,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.2_1,Darwaz,NA,NA,Wuleswali,District,NA,AF.BD.DA,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.3_1,Fayzabad,NA,NA,Wuleswali,District,NA,AF.BD.FA,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.4_1,Ishkashim,NA,NA,Wuleswali,District,NA,AF.BD.IK,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.5_1,Jurm,NA,NA,Wuleswali,District,NA,AF.BD.JU,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.6_1,Khwahan,NA,NA,Wuleswali,District,NA,AF.BD.KH,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.7_1,Kishim,NA,NA,Wuleswali,District,NA,AF.BD.KI,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.8_1,Kuran Wa Munjan,NA,NA,Wuleswali,District,NA,AF.BD.KM,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.9_1,Ragh,NA,NA,Wuleswali,District,NA,AF.BD.RA,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.10_1,Shahri Buzurg,NA,NA,Wuleswali,District,NA,AF.BD.SB,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.11_1,Shighnan,NA,NA,Wuleswali,District,NA,AF.BD.SG,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.12_1,Wakhan,NA,NA,Wuleswali,District,NA,AF.BD.WA,,,
AFG,Afghanistan,AFG.1_1,Badakhshan,NA,AFG.1.13_1,Zebak,NA,NA,Wuleswali,District,NA,AF.BD.ZE,,,
AFG,Afghanistan,AFG.2_1,Badghis,NA,AFG.2.1_1,Ab Kamari,NA,NA,Wuleswali,District,NA,AF.BG.AK,,,
AFG,Afghanistan,AFG.2_1,Badghis,NA,AFG.2.2_1,Ghormach,NA,NA,Wuleswali,District,NA,AF.BG.GH,,,
