"GID_0"	"COUNTRY"	"GID_1"	"NAME_1"	"VARNAME_1"	"NL_NAME_1"	"TYPE_1"	"ENGTYPE_1"	"CC_1"	"HASC_1"	"ISO_1"
"AFG"	"Afghanistan"	"AFG.1_1"	"Badakhshan"	"Badahšan"	NA	"Velayat"	"Province"	NA	"AF.BD"	NA
"AFG"	"Afghanistan"	"AFG.2_1"	"Badghis"	"Badghes|Badghisat|Badgis"	NA	"Velayat"	"Province"	NA	"AF.BG"	"AF-BDG"
"AFG"	"Afghanistan"	"AFG.3_1"	"Baghlan"	"Baglan|Bughlan"	NA	"Velayat"	"Province"	NA	"AF.BL"	"AF-BGL"
"AFG"	"Afghanistan"	"AFG.4_1"	"Balkh"	"Balh|Mazar-i-Sharif|Mazar"	NA	"Velayat"	"Province"	NA	"AF.BK"	"AF-BAL"
"AFG"	"Afghanistan"	"AFG.5_1"	"Bamyan"	NA	NA	"Velayat"	"Province"	NA	"AF.BM"	"AF-BAM"
"AFG"	"Afghanistan"	"AFG.6_1"	"Daykundi"	NA	NA	"Velayat"	"Province"	NA	"AF.DK"	"AF-DAY"
"AFG"	"Afghanistan"	"AFG.7_1"	"Farah"	NA	NA	"Velayat"	"Province"	NA	"AF.FH"	"AF-FRA"
"AFG"	"Afghanistan"	"AFG.8_1"	"Faryab"	"Fariab|Maimana|Meymaneh"	NA	"Velayat"	"Province"	NA	"AF.FB"	"AF-FYB"
"AFG"	"Afghanistan"	"AFG.9_1"	"Ghazni"	"Gazni"	NA	"Velayat"	"Province"	NA	"AF.GZ"	"AF-GHA"
"AFG"	"Afghanistan"	"AFG.10_1"	"Ghor"	"Gawr|Ghore|Ghour|Ghur"	NA	"Velayat"	"Province"	NA	"AF.GR"	"AF-GHO"
"AFG"	"Afghanistan"	"AFG.11_1"	"Hilmand"	"Girishk|Hilmend"	NA	"Velayat"	"Province"	NA	"AF.HM"	NA
"AFG"	"Afghanistan"	"AFG.12_1"	"Hirat"	NA	NA	"Velayat"	"Province"	NA	"AF.HR"	NA
"AFG"	"Afghanistan"	"AFG.13_1"	"Jawzjan"	"Jaozjan|Jozjan|Juzjan|Jouzjan|Sh"	NA	"Velayat"	"Province"	NA	"AF.JW"	NA
"AFG"	"Afghanistan"	"AFG.14_1"	"Kabul"	"Cabul|Kabol|Kaboul"	NA	"Velayat"	"Province"	NA	"AF.KB"	"AF-KAB"
"AFG"	"Afghanistan"	"AFG.15_1"	"Kandahar"	"Qandahar"	NA	"Velayat"	"Province"	NA	"AF.KD"	"AF-KAN"
